url	name	privacy	member_count
https://www.facebook.com/groups/1058699091905465	Homestay, căn hộ du lịch Huế	Nhóm công khai	4900
https://www.facebook.com/groups/243939496101198	HOMESTAY HUẾ	Nhóm công khai	33400
https://www.facebook.com/groups/buonbannhadathue	Homestay TP Huế (Tìm phòng trống hôm nay)	Nhóm công khai	9600
https://www.facebook.com/groups/696448886248687	Du Lịch Huế - Homestay & Villa Tại Huế ( check phòng trống hôm nay)	Nhóm công khai	1500
https://www.facebook.com/groups/6306552812747771	BOOKING HUẾ - HOMESTAY - VILLA - RESORT- KHÁCH SẠN	Nhóm công khai	7100
https://www.facebook.com/groups/752129859681671	Homestay giá rẻ Huế	Nhóm công khai	4400
https://www.facebook.com/groups/563789782188937	Homestay, Khách sạn giá rẻ Huế	Nhóm công khai	6000
https://www.facebook.com/groups/351569162077863	Homestay &Villa tại Huế	Nhóm công khai	98700
https://www.facebook.com/groups/305125322324647	HOMESTAY VILLA HUẾ	Nhóm công khai	1800
https://www.facebook.com/groups/810669206690066	HOMESTAY HUẾ GIÁ RẺ	Nhóm công khai	29100
https://www.facebook.com/groups/khacsanvilahomestayhue	Khách sạn, Villa, Biệt thự, Homestay tại Huế	Nhóm công khai	2700
https://www.facebook.com/groups/1614692018982979	Homestay Huế ( Review du lịch Huế)	Nhóm công khai	6300
https://www.facebook.com/groups/936254250044660	Homestay tại Huế	Nhóm công khai	3300
https://www.facebook.com/groups/518648126757873	HOMESTAY TẠI HUẾ	Nhóm công khai	8000
https://www.facebook.com/groups/312045387215250	REVIEW HUẾ	Nhóm công khai	506200
https://www.facebook.com/groups/279046218572085	Review Khách sạn Huế Gía Rẻ	Nhóm công khai	50100
https://www.facebook.com/groups/1216012568811641	Review Du Lịch Huế - Homestay, khách sạn Huế giá rẻ	Nhóm công khai	11200
https://www.facebook.com/groups/1611707942983916	Du Lịch Huế - Review	Nhóm công khai	9000
https://www.facebook.com/groups/867344417570720	Homestay Huế  Gía Rẻ	Nhóm công khai	51500
https://www.facebook.com/groups/rivewdulichtphue	Review Du Lịch Huế - Ăn gì, ở đâu , homestay Huế	Nhóm công khai	193600
https://www.facebook.com/groups/285351363530270	KHÁCH SẠN HUẾ GIÁ RẺ	Nhóm công khai	91800
https://www.facebook.com/groups/921156238367681	Check in Huế- Review - Du Lịch Huế	Nhóm công khai	3700
https://www.facebook.com/groups/180598939217397/	ĐẶT PHÒNG KHÁCH SẠN GIÁ RẺ	Nhóm công khai	101800
https://www.facebook.com/groups/1257506945196362	HOMESTAY HUẾ	Nhóm công khai	36600
https://www.facebook.com/groups/618491485409542	DU LỊCH - HUẾ CÓ GÌ?	Nhóm công khai	3500
https://www.facebook.com/groups/199242797384539	Homestay Huế Gía Rẻ - 2HTECHNO	Nhóm công khai	7500
https://www.facebook.com/groups/825651722838214	Review Du Lịch Hội An - Huế - Đà Nẵng	Nhóm công khai	69500
https://www.facebook.com/groups/920215339426414	slow life living in Huế - VietNam	Nhóm công khai	93700
https://www.facebook.com/groups/498672203623714	Homestay Huế Gía Rẻ	Nhóm công khai	119100
https://www.facebook.com/groups/1465486527768808	REVIEW HUẾ - KHÁCH SẠN , VILLA- HOMESTAY HUẾ	Nhóm công khai	1300
https://www.facebook.com/groups/538239749900547	Hiệp Hội Khách Sạn Du Lịch	Nhóm công khai	2100
https://www.facebook.com/groups/reviewdulichhue75travel	Review Du Lịch Huế	Nhóm công khai	9700
https://www.facebook.com/groups/1080693805924603	Homestay & Villa ở Huế	Nhóm công khai	104400
https://www.facebook.com/groups/2128876097342676	Homestay Huế Gía Rẻ (Check phòng trống hôm nay)	Nhóm công khai	55100
https://www.facebook.com/groups/957747644637873	REVIEW - HUẾ ( review Du Lịch - Âm thực - khám phá Huế)	Nhóm công khai	10900
